,Fecha,humedad_relativa
530,2008-07-20,79.0
532,2008-07-24,79.0
534,2008-07-25,74.33333333333333
537,2008-07-26,80.66666666666667
540,2008-07-27,76.66666666666667
543,2008-07-28,76.0
546,2008-07-29,76.66666666666667
549,2008-07-30,92.66666666666667
552,2008-07-31,80.0
555,2008-08-02,87.5
557,2008-08-03,77.33333333333333
560,2008-08-04,76.66666666666667
563,2008-08-05,76.0
566,2008-08-06,77.0
569,2008-08-07,65.0
572,2008-08-08,70.5
574,2008-08-09,65.33333333333333
577,2008-08-10,81.33333333333333
580,2008-08-11,87.66666666666667
583,2008-08-12,79.66666666666667
586,2008-08-13,81.66666666666667
589,2008-08-14,80.33333333333333
592,2008-08-15,69.33333333333333
595,2008-08-16,82.0
598,2008-08-17,79.33333333333333
601,2008-08-18,91.66666666666667
604,2008-08-19,89.33333333333333
607,2008-08-20,81.33333333333333
610,2008-08-21,85.33333333333333
613,2008-08-22,83.0
616,2008-08-23,78.0
619,2008-08-24,82.0
621,2008-08-25,72.33333333333333
624,2008-08-26,69.66666666666667
627,2008-08-27,81.66666666666667
630,2008-08-28,86.0
632,2008-08-29,93.0
634,2008-08-30,90.0
636,2008-09-01,72.5
638,2008-09-02,87.0
641,2008-09-03,89.33333333333333
644,2008-09-04,77.33333333333333
647,2008-09-05,83.33333333333333
650,2008-09-06,77.0
653,2008-09-07,75.66666666666667
656,2008-09-08,71.0
658,2008-09-10,58.333333333333336
661,2008-09-11,61.0
664,2008-09-12,57.0
667,2008-09-13,60.0
670,2008-09-14,78.5
672,2008-09-15,81.66666666666667
675,2008-09-16,83.66666666666667
678,2008-09-17,65.33333333333333
681,2008-09-18,85.0
683,2008-09-19,84.66666666666667
686,2008-09-20,81.66666666666667
689,2008-09-21,79.66666666666667
692,2008-09-22,83.66666666666667
695,2008-09-23,72.66666666666667
698,2008-09-24,79.33333333333333
701,2008-09-25,71.0
704,2008-09-26,61.333333333333336
707,2008-09-27,81.0
710,2008-09-28,80.66666666666667
713,2008-09-29,80.0
715,2008-09-30,80.0
718,2008-10-01,81.66666666666667
721,2008-10-02,81.66666666666667
724,2008-10-03,76.66666666666667
727,2008-10-04,78.0
730,2008-10-05,80.33333333333333
733,2008-10-06,80.0
